video_id,final_views,num_country,num_country_quantile,final_views_quantile,quantile
04ZfmcBBQho,30580,1,0,0,0
294Nba3bu1M,50835,1,0,0,0
7CM7vkG6pmQ,57659,1,0,0,0
FPgvqvttc4k,49177,1,0,0,0
Im0V-goWa5A,15495,1,0,0,0
J0esI6GIkSk,50736,1,0,0,0
LLhAsAm8Jss,67105,1,0,0,0
MZG9XboUW6g,59053,1,0,0,0
OtT6PqiVIDM,44290,1,0,0,0
SLuS21P-1ao,31583,1,0,0,0
TUCWDmPCAuw,70357,1,0,0,0
UoL74rrmznk,74811,1,0,0,0
VeU55U9EJWI,60818,1,0,0,0
WJvopBfTBmE,62319,1,0,0,0
X2rPdW-UAAQ,40074,1,0,0,0
YlB6smLL92c,66966,1,0,0,0
YlXclrFSFc0,59402,1,0,0,0
YmRn6cyrIvk,68121,1,0,0,0
ZCqGTdVBdDg,74642,1,0,0,0
_XGVp69wLto,64950,1,0,0,0
diI1sXg6T7k,52049,1,0,0,0
fHTBroyyyRE,62206,1,0,0,0
gY0uOovnmGA,59466,1,0,0,0
gtlUVFemLCU,43388,1,0,0,0
jOuuFk_dVSc,69326,1,0,0,0
q5pIFEICHQs,44648,1,0,0,0
zf_u6TBQT-g,44873,1,0,0,0
zyBR4BPV8Yk,17442,1,0,0,0
E3KVlWhY3Ak,62864,1,0,0,0
GoeSjZr_C60,55108,1,0,0,0
Iq0i0h38HLA,42510,1,0,0,0
KZYF0EZFPjY,61773,1,0,0,0
PuqR3gJroRw,58738,1,0,0,0
SVkssb9K93I,51836,1,0,0,0
TMN54-D7_Pg,61007,1,0,0,0
WddK6FoGap4,75463,1,0,0,0
_5K6ZLraF9Q,39514,1,0,0,0
ym0gIkdjmCk,70900,1,0,0,0
zP6qiJAyVdI,27438,1,0,0,0
9Kla7JQFU6o,56432,1,0,0,0
Gjq0SPcr7RM,70717,1,0,0,0
T7Mnh1b_gCY,64668,1,0,0,0
Z6-kFiurFRE,74991,1,0,0,0
aVH9iBIjPBc,61700,1,0,0,0
izGmsfvo6d8,63003,1,0,0,0
oo3g6-JXGKk,67913,1,0,0,0
sl8Py0s9MjA,62419,1,0,0,0
uUfMdj9ecbQ,75740,1,0,0,0
uoUivfRJKlY,58058,1,0,0,0
vkoc9M8Aqxs,31028,1,0,0,0
wenFfgaNQ_w,49325,1,0,0,0
wnYzY2K-sYE,75344,1,0,0,0
xUh2hgtdsDA,46335,1,0,0,0
676YGj5BCa4,29465,1,0,0,0
7rtaW7VctLY,60810,1,0,0,0
Awa2c6Wt2iY,40320,1,0,0,0
H5Hk6TFGzNM,67647,1,0,0,0
PmxqSmFIz1s,76131,1,0,0,0
_gZF-I9qPyg,61610,1,0,0,0
nnCuvLQgLNk,68673,1,0,0,0
vImBBqlcIFA,23615,1,0,0,0
0fpXXShFY0g,70156,1,0,0,0
2po9GXs5bXo,62682,1,0,0,0
4A6fHkkkF_4,17651,1,0,0,0
6HJgLv1vdaI,51438,1,0,0,0
CPf_KvDLVUw,32554,1,0,0,0
KonqKKdM6us,36327,1,0,0,0
N1HURYV3l4Y,73407,1,0,0,0
NbOl0xyG2Jc,58574,1,0,0,0
PwTEHZYq2T0,39937,1,0,0,0
_e3kTTNN7NE,30395,1,0,0,0
cg_LGHaYNKQ,69902,1,0,0,0
ffeVzhEV_Uo,73545,1,0,0,0
sdBWIdYu40Y,56320,1,0,0,0
smkSYfFnK00,61846,1,0,0,0
vOKD8XjTR1E,61920,1,0,0,0
2IMnpn4iWwg,77387,1,0,0,0
9VfsWEW28cE,57781,1,0,0,0
BM6ioa3XaHU,34832,1,0,0,0
H-X8qdAY6po,39560,1,0,0,0
HhWo2TAsPTM,66498,1,0,0,0
PdfTuCno5CI,75679,1,0,0,0
ROmiLD3n-Fg,65938,1,0,0,0
ZQ8pHyiJzsI,46431,1,0,0,0
_4tt6EieCUw,72231,1,0,0,0
al4yNkqadjw,62490,1,0,0,0
k9caI7rpyjI,57760,1,0,0,0
p6RWNfw-NrY,55094,1,0,0,0
rWaiVrnyBlU,47677,1,0,0,0
spjKjF_L2tc,57671,1,0,0,0
w-kX6q2-A-8,42654,1,0,0,0
x-74EahCi-o,23662,1,0,0,0
ybYS5vyyfSY,50710,1,0,0,0
-mhhpRosOjA,52055,1,0,0,0
-zSIhzZ8Two,61261,1,0,0,0
54sh1scHXqY,29479,1,0,0,0
VG92rtJ44zs,66672,1,0,0,0
bXoZX0KoSEM,47348,1,0,0,0
oRvzvoO8i5o,55348,1,0,0,0
r26xts06cvg,55829,1,0,0,0
t1w5uV6lmwE,62219,1,0,0,0
viXptWA3KlE,57730,1,0,0,0
-Tz5v5Y7PjE,73171,1,0,0,0
FhVxnzGcSxM,74659,1,0,0,0
IPCM_KYUMKQ,60339,1,0,0,0
R8Bp3E9UPts,65461,1,0,0,0
XY1n0cFX-H4,58986,1,0,0,0
bjFW2cyKIH8,73381,1,0,0,0
haPck9vavAg,70064,1,0,0,0
iLQogF1Gvjk,69959,1,0,0,0
n0YQUj1p9ho,63678,1,0,0,0
1tbIfUJfINI,74087,1,0,0,0
3G-eKBCrc44,65266,1,0,0,0
F4JiXCgxTFk,34533,1,0,0,0
agapHK1Joxg,73139,1,0,0,0
8iX2N7l9fHM,57489,1,0,0,0
DfhPzCk02o4,53699,1,0,0,0
EGLe_SDJvsk,19310,1,0,0,0
GuELZJN_O9k,77481,1,0,0,0
I_pMei-6s5s,61800,1,0,0,0
KuptmZberCQ,66174,1,0,0,0
NJucxI2ALjM,60017,1,0,0,0
XlEaIEU8zDU,75722,1,0,0,0
ijwZTjdktU0,52418,1,0,0,0
qUkDTibf-nU,63062,1,0,0,0
r_osvVNsxSs,46994,1,0,0,0
rj6aPLpWcOM,60731,1,0,0,0
sWJNhZOtB_w,60137,1,0,0,0
wHwVpHJkDSo,53561,1,0,0,0
-rVRB6YqXHE,62710,1,0,0,0
2DIufcEH9vY,64212,1,0,0,0
2N_5KeaFXwc,50013,1,0,0,0
AidCmPQ2GCc,73868,1,0,0,0
L9SeAG62xMs,33640,1,0,0,0
_Vule3ujoug,65735,1,0,0,0
ayz35yk-FdE,48995,1,0,0,0
eHDIb0B15HQ,69581,1,0,0,0
hrY_iG2A2PM,66204,1,0,0,0
lmrJvtTFv9k,32708,1,0,0,0
0fMFlORuIsM,25550,1,0,0,0
3R-F3EgIFuU,67590,1,0,0,0
4p6M5VEkSXA,35705,1,0,0,0
9tFwkmI9kN4,67672,1,0,0,0
ARBjwe7VI-0,74647,1,0,0,0
C5Jy-OH2FgM,73512,1,0,0,0
KRDaSVU5cHE,59494,1,0,0,0
P9xBayzbAFc,41190,1,0,0,0
VYctjkfTO7E,55999,1,0,0,0
je_ZFn73EqQ,62550,1,0,0,0
t0SwDrYsRqc,75149,1,0,0,0
z-YN3yKnaN8,60054,1,0,0,0
15zGQA-51sc,64337,1,0,0,0
59LXEg5JRLQ,69130,1,0,0,0
Dweqwj_jce4,72215,1,0,0,0
QogM9k88YK4,75924,1,0,0,0
VUtb_yWMHL8,46643,1,0,0,0
Z09gSJlvAMY,68969,1,0,0,0
ue7hJsbGXeo,53483,1,0,0,0
wLc1QzWABnU,70390,1,0,0,0
zlQbdC69y9A,61774,1,0,0,0
5goL7lF1Lvg,44389,1,0,0,0
6Rr1jLnLBSQ,77133,1,0,0,0
C5ftglcw89k,67776,1,0,0,0
OiZYW0cJ2jw,68162,1,0,0,0
TDPE_EjNR28,68716,1,0,0,0
