video_id,final_views,num_country,num_country_quantile,final_views_quantile,quantile
13XE9b5aXak,777064,3,1,3,13
1L6ic9db3Vw,5300995,2,1,3,13
229UxKh6SUg,2344956,2,1,3,13
2gQzvV_yGMM,1743926,2,1,3,13
2oIwcPuqLDY,1341013,3,1,3,13
2uyFnfvwkUM,741885,2,1,3,13
38RB-jxcJJg,3036572,2,1,3,13
41aX03yxUnI,762463,3,1,3,13
4Q9DWZLaY2U,5655778,3,1,3,13
5EIH-e0aRCQ,2141665,2,1,3,13
5ZguAsiM4yA,599810,2,1,3,13
5_ozB0ImkYA,23325697,3,1,3,13
63NB2M6PNpM,849280,2,1,3,13
65JrtwtTOdc,20643102,3,1,3,13
6FustuvzWHQ,874726,2,1,3,13
6oGsiNnLqKc,806036,2,1,3,13
6u_cgKR_D3w,12410406,3,1,3,13
8X56CrheLeY,1697944,2,1,3,13
8eFw_zpogQc,1430008,2,1,3,13
9HQ8ExJdndg,31889631,3,1,3,13
9ZZzfrapNvo,5466041,2,1,3,13
AnmxmYkmJYI,2886859,2,1,3,13
B4rS13xRwMc,2798914,2,1,3,13
BJWDTphJ8-g,1081759,3,1,3,13
BKYH0r1a_dE,1151875,2,1,3,13
B_phxYr6Qdw,3732129,2,1,3,13
C--unyNpluY,815810,2,1,3,13
CB0kae8TwOE,1263542,3,1,3,13
CqUVgSVoaEM,2330837,2,1,3,13
DGzFXZYEL60,774165,3,1,3,13
DYePI_B81Lg,916976,2,1,3,13
F43Rj9c1TQs,5348365,2,1,3,13
FgfNUGYhs9c,754151,3,1,3,13
Fp88dfbSjus,635411,3,1,3,13
G0VDBrkASKU,2733061,2,1,3,13
G4GGuBy9sI4,706586,2,1,3,13
G7CdEseBpwc,1698465,3,1,3,13
GdXo5kU0crw,854230,2,1,3,13
Gwtt6yklGac,1467742,2,1,3,13
GywDFkY3z-c,4055010,2,1,3,13
HQ2W4H4AUMg,7118718,3,1,3,13
Hcclbkd2uvQ,1211581,2,1,3,13
Ia91HcPsKcc,1704940,2,1,3,13
InjHB8juB6s,1922897,3,1,3,13
JLziT15oR4Q,13607067,2,1,3,13
K2kUyHgadQo,10038588,3,1,3,13
LKXAkSHfOp0,7448418,3,1,3,13
LoclMsEDfns,751595,2,1,3,13
LxqTkDhJa8Q,605764,2,1,3,13
MbFCHXbBGhQ,958195,2,1,3,13
NguGZ3XECDE,1376493,2,1,3,13
NqFiBTgGSq0,946461,2,1,3,13
NtKZVFoK6wA,1681265,2,1,3,13
OUIHgBI1VuU,1184060,3,1,3,13
OaVIfzYbg0s,728995,2,1,3,13
OnKJfB3PxOY,1513318,3,1,3,13
P8_4IvcgOtA,793808,2,1,3,13
PoNCG3PZKII,1214348,2,1,3,13
Q6GlTDMomrg,1481502,2,1,3,13
S8XEU3iJ2kM,639945,2,1,3,13
T-N88Nk5IDU,721625,2,1,3,13
TJ7pCRqXlS0,1081390,2,1,3,13
UYVs8M21HTk,5806282,2,1,3,13
UsmrBmUkO6U,1119120,2,1,3,13
VDBc1etieAA,12745815,3,1,3,13
VztNtO_nHV4,1060694,3,1,3,13
WCxaz4i_pmQ,5408877,3,1,3,13
WPRpnAUSdkU,1327831,3,1,3,13
X1xdzlWBkgc,4717103,2,1,3,13
XogF9cf3_ag,1921296,3,1,3,13
XqQaMxN5Mdo,1314130,2,1,3,13
YKOGlHv7b5w,2421287,2,1,3,13
YV4NGdF173U,898621,2,1,3,13
YxksUfnuEbI,46607883,3,1,3,13
ZmOUOLzjPOc,804249,2,1,3,13
_EqqB11JQBY,2788993,3,1,3,13
_JzpzbXGGs4,666926,3,1,3,13
aETEDgDpRlA,1604966,2,1,3,13
aLIAZN-crKk,1637649,2,1,3,13
aaKcBrI6CBM,3188828,2,1,3,13
adOo-3ZEIyI,735615,3,1,3,13
asSzZdtJCuo,5412875,3,1,3,13
cAzNskg5nkU,5268546,3,1,3,13
dUuJDv4VdYA,1062246,2,1,3,13
etzhx3exdK8,3569231,2,1,3,13
eyuH0txooZM,635174,2,1,3,13
f69GiCZBOPs,735402,3,1,3,13
fNo-wED_fxY,2245094,2,1,3,13
fSV3AYHTecw,12873866,2,1,3,13
fe2ghwBg180,1558092,2,1,3,13
fyxq_Zc7OHQ,2444118,2,1,3,13
h-t_qJafkPY,1267604,2,1,3,13
hAWym7xiw0k,2570240,2,1,3,13
hZWrQX4Ezhw,1465604,3,1,3,13
hthbZxfLq5Q,4226975,3,1,3,13
iRXC7lfm4gg,961589,3,1,3,13
j5gUjrRzyXA,1229466,3,1,3,13
jkJzOsiF3Ko,835635,3,1,3,13
k1v7_zScivQ,6227361,3,1,3,13
knx3Hwbg6A8,806357,3,1,3,13
lNekiLJpJK0,718114,2,1,3,13
mSoRYip5Ln0,9940524,2,1,3,13
meWO2YrgKlU,785079,2,1,3,13
mrxWVngNfLQ,2202878,3,1,3,13
nAW9o_2UjT8,910276,2,1,3,13
nDvzUVTSXhY,962624,2,1,3,13
o2PK6sUEPe4,876833,2,1,3,13
oPyeCWrtOWQ,2857684,2,1,3,13
pG92Jt_1YYo,4714877,2,1,3,13
pa8jRCm8mzg,1321887,2,1,3,13
pixJVqUzTdk,2650655,2,1,3,13
pvPsJFRGleA,57570783,2,1,3,13
qJf8Ef4pqQk,5604339,3,1,3,13
qnCNLtYVjK4,6421731,3,1,3,13
qtJoOuZBjtU,1024427,2,1,3,13
qvu4nPMyl3U,60857800,3,1,3,13
rjwWG6kJ6io,3432156,2,1,3,13
rlmRTYOO6T8,1717517,2,1,3,13
rqTsU3Jf2eM,1053029,2,1,3,13
tGmp5TCofkM,772449,2,1,3,13
ta4C__gPK7s,1542897,2,1,3,13
ty1ANpLCz68,1031996,2,1,3,13
uwYKF1W5GCc,1137663,2,1,3,13
vZXcIGiQM68,779772,2,1,3,13
vr1qqfviSY4,736875,3,1,3,13
x0jkfZVwZU0,2703298,2,1,3,13
xDa_yQScau8,1585765,3,1,3,13
xI_lxFv203I,12444516,2,1,3,13
xjM-X-13NYM,3391099,2,1,3,13
xw0gE8QA1W0,18887848,3,1,3,13
xzjRWpCVBPo,923461,2,1,3,13
